시설년도,위치코드,시설구분1,쉼터명칭,도로명주소,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
2025,1111061500,특정계층이용시설,서울노인복지센터,서울특별시 종로구 삼일대로 467 (경운동),126.9859578,37.5759561,198759.5711,552934.413
2025,1120053500,특정계층이용시설,도선경로당,서울특별시 성동구 무학로6길 9,127.031106,37.5655178,202748.1568,551776.2452
2025,1120054000,특정계층이용시설,왕십리삼성(아)경로당,서울특별시 성동구 마장로 271 (왕십리삼성아파트),127.040625,37.566011,203589.119,551831.3056
2025,1120054000,생활밀착민간시설,서울행복신협본점,서울특별시 성동구 마장로39길 31 (행복신협빌딩),127.04305,37.568111,203803.2551,552064.4764
2025,1120054000,특정계층이용시설,세림(아)경로당,서울특별시 성동구 마장로42길 16,127.045817,37.564767,204047.8868,551693.4471
2025,1120054000,특정계층이용시설,정화경로당,서울특별시 성동구 마장로33길 29-5,127.038457,37.568471,203397.4698,552104.2562
2025,1120054000,특정계층이용시설,청계현대(아)경로당,서울특별시 성동구 마장로35길 76 (청계현대아파트 102동),127.042603,37.569599,203763.6899,552229.6091
2025,1120054000,특정계층이용시설,청계미소지움(아)경로당,서울특별시 성동구 마장로39길 43 (청계미소지움 101동),127.043728,37.568857,203863.1145,552147.3014
2025,1120054000,특정계층이용시설,왕십리금호어울림(아)경로당,서울특별시 성동구 마조로 55 (왕십리금호어울림아파트 6동),127.040736,37.563062,203599.0675,551504.0054
2025,1120054000,특정계층이용시설,왕십리대성유니드(아)경로당,서울특별시 성동구 마장로37길 7 (대성유니드아파트 103동),127.038691,37.566752,203418.221,551913.4758
2025,1120054000,특정계층이용시설,일송경로당,서울특별시 성동구 마조로15가길 23 (마장 에스에이치빌 101동),127.040124,37.564485,203544.9292,551661.9185
2025,1120054000,특정계층이용시설,왕십리중앙하이츠(아)경로당,서울특별시 성동구 마장로 262 (중앙하이츠아파트 102동),127.039236,37.565466,203466.4295,551770.7648
2025,1120054000,공공시설,1인가구지원센터,서울특별시 성동구 마장로39길 31 (마장동),127.0429721,37.5681073,203796.3732,552064.0626
2025,1120054000,야외시설,마장동자전거체험학습장인근샘물창고,서울특별시 성동구 살곶이길 40 (마장동),127.0442677,37.570059,203910.731,552280.7317
2025,1120054000,공공시설,마장동주민센터,서울특별시 성동구 마장로42길 11,127.045289,37.5663242,204001.1553,551866.2555
2025,1120054000,공공시설,성동종합사회복지관,"서울특별시 성동구  청계천로  506 , 성동종합사회복지관 (마장동)",127.033643,37.5703644,202972.1035,552314.2384
2025,1126062000,특정계층이용시설,신도2차APT경로당,서울특별시 중랑구 공릉로13길 30 (묵동신도아파트),127.077444,37.616738,206837.3454,557463.477
2025,1126062000,특정계층이용시설,신안3차APT경로당,"서울특별시 중랑구 공릉로2라길 4 (신안3차아파트 관리사무소,노인정)",127.081663,37.612506,207210.2395,556994.0863
2025,1126062000,특정계층이용시설,신안1차APT경로당,서울특별시 중랑구 공릉로2길 47 (신안1차아파트 상가 상가동),127.08099,37.612672,207150.8027,557012.459
2025,1126062000,공공시설,구립정보도서관,서울특별시 중랑구 신내로15길 197 (중랑구립정보도서관),127.08694,37.615219,207675.8808,557295.6184
2025,1126062000,특정계층이용시설,신내대림두산APT경로당,서울특별시 중랑구 신내로21길 16 (신내두산대림아파트),127.088148,37.61704,207782.3447,557497.8293
2025,1126062000,특정계층이용시설,화랑마을경로당,서울특별시 중랑구 묵동 122-174,127.0803131,37.6090802,207091.3785,556613.7568
2025,1126062000,생활밀착민간시설,묵동화랑새마을금고본점,서울특별시 중랑구 동일로 874 (묵동),127.0784088,37.6085772,206923.2818,556557.7872
2025,1126062000,생활밀착민간시설,신내동새마을금고봉화산역지점,서울특별시 중랑구 신내로15길 196 (묵동),127.090139,37.6173688,207958.0896,557534.4896
2025,1126062000,특정계층이용시설,묵1동구립경로당,서울특별시 중랑구 공릉로2라길 26 (묵동),127.0816952,37.6132902,207213.0068,557081.1265
2025,1126062000,공공시설,묵1동주민센터,서울특별시 중랑구 공릉로2가길 5 (묵동),127.0785496,37.6124007,206935.359,556982.1646
2025,1126062000,공공시설,중랑구민체육센터1층,서울특별시 중랑구 신내로15길 189,127.0875439,37.6151765,207729.2032,557290.9509
2025,1126063000,특정계층이용시설,월드메르디앙APT경로당,서울특별시 중랑구 중랑천로 316 (묵동월드메르디앙아파트 101동),127.073466,37.612974,206486.4642,557045.4313
2025,1126063000,특정계층이용시설,동구햇살APT경로당,서울특별시 중랑구 동일로169길 41 (동구햇살아파트 101동),127.074475,37.613348,206575.518,557087.0114
2025,1126063000,특정계층이용시설,현대아이파크APT경로당,서울특별시 중랑구 중랑천로 286 (묵동아이파크아파트 관리동),127.07367,37.610458,206504.6949,556766.1967
2025,1126063000,특정계층이용시설,극동늘푸른APT경로당,서울특별시 중랑구 동일로 941 (극동늘푸른아파트 관리사무소),127.076223,37.614673,206729.7323,557234.196
2025,1121583000,공공시설,광진구청무더위쉼터,서울특별시 광진구 아차산로 400 (광진구청),127.087753,37.536282,207755.8427,548534.5862
2025,1121583000,공공시설,신자초스마트휴쉼터,서울특별시 광진구 뚝섬로46길 64 (서울신자초등학교),127.07492,37.530073,206622.177,547844.4826
2025,1121583000,특정계층이용시설,로얄동아아파트경로당,"서울특별시 광진구 뚝섬로52마길 56  (자양동, 로얄동아아파트)",127.0813984,37.5282243,207194.9803,547639.7757
2025,1121583000,특정계층이용시설,자양경남아파트경로당,"서울특별시 광진구 뚝섬로52길 71  (자양동, 경남아파트)",127.078962,37.5289369,206979.5552,547718.6819
2025,1121583000,특정계층이용시설,현대강변아파트경로당,"서울특별시 광진구 자양로3가길 43  (자양동, 현대강변아파트)",127.0859474,37.5284285,207597.0556,547662.7971
2025,1121583000,특정계층이용시설,경남아너스빌경로당,서울특별시 광진구 자양로3길 49  (자양동),127.0839518,37.5295176,207420.5527,547783.5144
2025,1121583000,특정계층이용시설,구립자양노인복지관,서울특별시 광진구 뚝섬로56길 20 (자양동),127.0824757,37.5305421,207289.9796,547897.1058
2025,1121583000,공공시설,자양한강도서관,서울특별시 광진구 뚝섬로52길 66,127.077319,37.529542,206834.273,547785.7198
2025,1121583000,특정계층이용시설,자양구립제1경로당,서울특별시 광진구 뚝섬로56길 28,127.082446,37.530283,207287.3796,547868.3466
2025,1121583000,특정계층이용시설,유수지경로당,서울특별시 광진구 뚝섬로48길 46 (자양동),127.0768171,37.5299959,206789.8686,547836.0608
2025,1121583000,특정계층이용시설,자양구립제2경로당,서울특별시 광진구 뚝섬로62길 17,127.088155,37.532535,207791.7624,548118.7484
2025,1121583000,공공시설,자양2동주민센터,서울특별시 광진구  자양로3가길  26   (자양동),127.084456,37.528785,207465.1923,547702.2447
2025,1121584000,특정계층이용시설,우성7차@경로당,서울특별시 광진구 아차산로36길 39 (자양7차우성아파트 704동),127.074619,37.536295,206595.0237,548535.0269
2025,1121584000,특정계층이용시설,한라@경로당,"서울특별시 광진구 뚝섬로33길 20 (한라아파트 보육시설,노인정)",127.07007,37.535638,206193.0254,548461.7986
2025,1121584000,특정계층이용시설,자양9차현대홈타운경로당,서울특별시 광진구 뚝섬로34길 32 (자양9차현대홈타운),127.06919,37.533747,206115.4024,548251.8633
